Date,Start (ET),VisitorTeam,HomeTeam,Arena
2025-11-17,7:00p,Milwaukee Bucks,Cleveland Cavaliers,Rocket Arena
2025-11-17,7:00p,Indiana Pacers,Detroit Pistons,Little Caesars Arena
2025-11-17,7:00p,Los Angeles Clippers,Philadelphia 76ers,Xfinity Mobile Arena
2025-11-17,7:30p,New York Knicks,Miami Heat,Kaseya Center
2025-11-17,7:30p,Charlotte Hornets,Toronto Raptors,Scotiabank Arena
2025-11-17,8:00p,Dallas Mavericks,Minnesota Timberwolves,Target Center
2025-11-17,8:00p,Oklahoma City Thunder,New Orleans Pelicans,Smoothie King Center
2025-11-17,9:00p,Chicago Bulls,Denver Nuggets,Ball Arena
2025-11-18,7:00p,Golden State Warriors,Orlando Magic,Kia Center
2025-11-18,7:30p,Detroit Pistons,Atlanta Hawks,State Farm Arena
2025-11-18,7:30p,Boston Celtics,Brooklyn Nets,Barclays Center
2025-11-18,8:00p,Memphis Grizzlies,San Antonio Spurs,Frost Bank Center
2025-11-18,10:30p,Utah Jazz,Los Angeles Lakers,Crypto.com Arena
2025-11-18,11:00p,Phoenix Suns,Portland Trail Blazers,Moda Center
2025-11-19,7:00p,Houston Rockets,Cleveland Cavaliers,Rocket Arena
2025-11-19,7:00p,Charlotte Hornets,Indiana Pacers,Gainbridge Fieldhouse
2025-11-19,7:00p,Toronto Raptors,Philadelphia 76ers,Xfinity Mobile Arena
2025-11-19,7:30p,Golden State Warriors,Miami Heat,Kaseya Center
2025-11-19,8:00p,Washington Wizards,Minnesota Timberwolves,Target Center
2025-11-19,8:00p,Denver Nuggets,New Orleans Pelicans,Smoothie King Center
2025-11-19,8:00p,Sacramento Kings,Oklahoma City Thunder,Paycom Center
2025-11-19,9:30p,New York Knicks,Dallas Mavericks,American Airlines Center
2025-11-19,10:00p,Chicago Bulls,Portland Trail Blazers,Moda Center
2025-11-20,7:00p,Los Angeles Clippers,Orlando Magic,Kia Center
2025-11-20,8:00p,Sacramento Kings,Memphis Grizzlies,FedExForum
2025-11-20,8:00p,Philadelphia 76ers,Milwaukee Bucks,Fiserv Forum
2025-11-20,8:00p,Atlanta Hawks,San Antonio Spurs,Frost Bank Center
2025-11-21,7:00p,Indiana Pacers,Cleveland Cavaliers,Rocket Arena
2025-11-21,7:30p,Brooklyn Nets,Boston Celtics,TD Garden
2025-11-21,7:30p,Washington Wizards,Toronto Raptors,Scotiabank Arena
2025-11-21,8:00p,Miami Heat,Chicago Bulls,United Center
2025-11-21,8:30p,New Orleans Pelicans,Dallas Mavericks,American Airlines Center
2025-11-21,9:00p,Minnesota Timberwolves,Phoenix Suns,Mortgage Matchup Center
2025-11-21,9:30p,Denver Nuggets,Houston Rockets,Toyota Center
2025-11-21,10:00p,Portland Trail Blazers,Golden State Warriors,Chase Center
2025-11-21,10:00p,Oklahoma City Thunder,Utah Jazz,Delta Center
2025-11-22,1:00p,Los Angeles Clippers,Charlotte Hornets,Spectrum Center
2025-11-22,5:00p,New York Knicks,Orlando Magic,Kia Center
2025-11-22,7:00p,Atlanta Hawks,New Orleans Pelicans,Smoothie King Center
2025-11-22,8:00p,Washington Wizards,Chicago Bulls,United Center
2025-11-22,8:00p,Detroit Pistons,Milwaukee Bucks,Fiserv Forum
2025-11-22,8:30p,Memphis Grizzlies,Dallas Mavericks,American Airlines Center
2025-11-22,10:00p,Sacramento Kings,Denver Nuggets,Ball Arena
2025-11-23,1:00p,Miami Heat,Philadelphia 76ers,Xfinity Mobile Arena
2025-11-23,6:00p,Charlotte Hornets,Atlanta Hawks,State Farm Arena
2025-11-23,6:00p,Orlando Magic,Boston Celtics,TD Garden
2025-11-23,6:00p,Los Angeles Clippers,Cleveland Cavaliers,Rocket Arena
2025-11-23,6:00p,Brooklyn Nets,Toronto Raptors,Scotiabank Arena
2025-11-23,7:00p,Portland Trail Blazers,Oklahoma City Thunder,Paycom Center
2025-11-23,8:00p,San Antonio Spurs,Phoenix Suns,Mortgage Matchup Center
2025-11-23,8:00p,Los Angeles Lakers,Utah Jazz,Delta Center
2025-11-24,7:00p,Detroit Pistons,Indiana Pacers,Gainbridge Fieldhouse
2025-11-24,7:00p,Cleveland Cavaliers,Toronto Raptors,Scotiabank Arena
2025-11-24,7:30p,New York Knicks,Brooklyn Nets,Barclays Center
2025-11-24,7:30p,Dallas Mavericks,Miami Heat,Kaseya Center
2025-11-24,8:00p,Denver Nuggets,Memphis Grizzlies,FedExForum
2025-11-24,8:00p,Portland Trail Blazers,Milwaukee Bucks,Fiserv Forum
2025-11-24,8:00p,Chicago Bulls,New Orleans Pelicans,Smoothie King Center
2025-11-24,9:30p,Houston Rockets,Phoenix Suns,Mortgage Matchup Center
2025-11-24,10:00p,Utah Jazz,Golden State Warriors,Chase Center
2025-11-24,10:00p,Minnesota Timberwolves,Sacramento Kings,Golden 1 Center
2025-11-25,7:00p,Atlanta Hawks,Washington Wizards,Capital One Arena
2025-11-25,8:00p,Orlando Magic,Philadelphia 76ers,Xfinity Mobile Arena
2025-11-25,11:00p,Los Angeles Clippers,Los Angeles Lakers,Crypto.com Arena
2025-11-26,5:00p,Detroit Pistons,Boston Celtics,TD Garden
2025-11-26,7:00p,New York Knicks,Charlotte Hornets,Spectrum Center
2025-11-26,7:30p,Milwaukee Bucks,Miami Heat,Kaseya Center
2025-11-26,7:30p,Minnesota Timberwolves,Oklahoma City Thunder,Paycom Center
2025-11-26,7:30p,Indiana Pacers,Toronto Raptors,Scotiabank Arena
2025-11-26,8:00p,Memphis Grizzlies,New Orleans Pelicans,Smoothie King Center
2025-11-26,10:00p,Houston Rockets,Golden State Warriors,Chase Center
2025-11-26,10:00p,San Antonio Spurs,Portland Trail Blazers,Moda Center
2025-11-26,10:00p,Phoenix Suns,Sacramento Kings,Golden 1 Center
2025-11-28,7:30p,Cleveland Cavaliers,Atlanta Hawks,State Farm Arena
2025-11-28,7:30p,Philadelphia 76ers,Brooklyn Nets,Barclays Center
2025-11-28,7:30p,Chicago Bulls,Charlotte Hornets,Spectrum Center
2025-11-28,7:30p,Orlando Magic,Detroit Pistons,Little Caesars Arena
2025-11-28,7:30p,Washington Wizards,Indiana Pacers,Gainbridge Fieldhouse
2025-11-28,7:30p,Milwaukee Bucks,New York Knicks,Madison Square Garden (IV)
2025-11-28,9:30p,San Antonio Spurs,Denver Nuggets,Ball Arena
2025-11-28,9:30p,Phoenix Suns,Oklahoma City Thunder,Paycom Center
2025-11-28,9:30p,Sacramento Kings,Utah Jazz,Delta Center
2025-11-28,10:00p,Memphis Grizzlies,Los Angeles Clippers,Intuit Dome
2025-11-28,10:00p,Dallas Mavericks,Los Angeles Lakers,Crypto.com Arena
2025-11-29,5:00p,Boston Celtics,Minnesota Timberwolves,Target Center
2025-11-29,6:00p,Toronto Raptors,Charlotte Hornets,Spectrum Center
2025-11-29,7:30p,Chicago Bulls,Indiana Pacers,Gainbridge Fieldhouse
2025-11-29,8:00p,Detroit Pistons,Miami Heat,Kaseya Center
2025-11-29,8:00p,Brooklyn Nets,Milwaukee Bucks,Fiserv Forum
2025-11-29,8:30p,New Orleans Pelicans,Golden State Warriors,Chase Center
2025-11-29,9:00p,Denver Nuggets,Phoenix Suns,Mortgage Matchup Center
2025-11-29,10:00p,Dallas Mavericks,Los Angeles Clippers,Intuit Dome
2025-11-30,3:00p,Houston Rockets,Utah Jazz,Delta Center
2025-11-30,6:00p,Boston Celtics,Cleveland Cavaliers,Rocket Arena
2025-11-30,6:00p,Toronto Raptors,New York Knicks,Madison Square Garden (IV)
2025-11-30,6:00p,Atlanta Hawks,Philadelphia 76ers,Xfinity Mobile Arena
2025-11-30,6:00p,Oklahoma City Thunder,Portland Trail Blazers,Moda Center
2025-11-30,7:00p,San Antonio Spurs,Minnesota Timberwolves,Target Center
2025-11-30,9:00p,Memphis Grizzlies,Sacramento Kings,Golden 1 Center
2025-11-30,9:30p,New Orleans Pelicans,Los Angeles Lakers,Crypto.com Arena
2025-12-01,7:00p,Atlanta Hawks,Detroit Pistons,Little Caesars Arena
2025-12-01,7:00p,Cleveland Cavaliers,Indiana Pacers,Gainbridge Fieldhouse
2025-12-01,7:00p,Milwaukee Bucks,Washington Wizards,Capital One Arena
2025-12-01,7:30p,Charlotte Hornets,Brooklyn Nets,Barclays Center
2025-12-01,7:30p,Los Angeles Clippers,Miami Heat,Kaseya Center
2025-12-01,7:30p,Chicago Bulls,Orlando Magic,Kia Center
2025-12-01,9:00p,Dallas Mavericks,Denver Nuggets,Ball Arena
2025-12-01,9:00p,Houston Rockets,Utah Jazz,Delta Center
2025-12-01,10:00p,Phoenix Suns,Los Angeles Lakers,Crypto.com Arena
2025-12-02,7:00p,Washington Wizards,Philadelphia 76ers,Xfinity Mobile Arena
2025-12-02,7:30p,Portland Trail Blazers,Toronto Raptors,Scotiabank Arena
2025-12-02,8:00p,New York Knicks,Boston Celtics,TD Garden
2025-12-02,8:00p,Minnesota Timberwolves,New Orleans Pelicans,Smoothie King Center
2025-12-02,8:00p,Memphis Grizzlies,San Antonio Spurs,Frost Bank Center
2025-12-02,11:00p,Oklahoma City Thunder,Golden State Warriors,Chase Center
2025-12-03,7:00p,Portland Trail Blazers,Cleveland Cavaliers,Rocket Arena
2025-12-03,7:00p,Denver Nuggets,Indiana Pacers,Gainbridge Fieldhouse
2025-12-03,7:00p,San Antonio Spurs,Orlando Magic,Kia Center
2025-12-03,7:30p,Los Angeles Clippers,Atlanta Hawks,State Farm Arena
2025-12-03,7:30p,Charlotte Hornets,New York Knicks,Madison Square Garden (IV)
2025-12-03,8:00p,Brooklyn Nets,Chicago Bulls,United Center
2025-12-03,8:00p,Sacramento Kings,Houston Rockets,Toyota Center
2025-12-03,8:00p,Detroit Pistons,Milwaukee Bucks,Fiserv Forum
2025-12-03,8:30p,Miami Heat,Dallas Mavericks,American Airlines Center
2025-12-04,7:00p,Golden State Warriors,Philadelphia 76ers,Xfinity Mobile Arena
2025-12-04,7:00p,Boston Celtics,Washington Wizards,Capital One Arena
2025-12-04,7:30p,Utah Jazz,Brooklyn Nets,Barclays Center
2025-12-04,7:30p,Los Angeles Lakers,Toronto Raptors,Scotiabank Arena
2025-12-04,8:00p,Minnesota Timberwolves,New Orleans Pelicans,Smoothie King Center
2025-12-05,7:00p,Los Angeles Lakers,Boston Celtics,TD Garden
2025-12-05,7:00p,Miami Heat,Orlando Magic,Kia Center
2025-12-05,7:30p,Denver Nuggets,Atlanta Hawks,State Farm Arena
2025-12-05,7:30p,San Antonio Spurs,Cleveland Cavaliers,Rocket Arena
2025-12-05,7:30p,Portland Trail Blazers,Detroit Pistons,Little Caesars Arena
2025-12-05,7:30p,Utah Jazz,New York Knicks,Madison Square Garden (IV)
2025-12-05,7:30p,Charlotte Hornets,Toronto Raptors,Scotiabank Arena
2025-12-05,8:00p,Indiana Pacers,Chicago Bulls,United Center
2025-12-05,8:00p,Phoenix Suns,Houston Rockets,Toyota Center
2025-12-05,8:00p,Los Angeles Clippers,Memphis Grizzlies,FedExForum
2025-12-05,8:00p,Philadelphia 76ers,Milwaukee Bucks,Fiserv Forum
2025-12-05,9:30p,Dallas Mavericks,Oklahoma City Thunder,Paycom Center
2025-12-06,5:00p,New Orleans Pelicans,Brooklyn Nets,Barclays Center
2025-12-06,7:00p,Atlanta Hawks,Washington Wizards,Capital One Arena
2025-12-06,7:30p,Golden State Warriors,Cleveland Cavaliers,Rocket Arena
2025-12-06,7:30p,Milwaukee Bucks,Detroit Pistons,Little Caesars Arena
2025-12-06,8:00p,Sacramento Kings,Miami Heat,Kaseya Center
2025-12-06,8:00p,Los Angeles Clippers,Minnesota Timberwolves,Target Center
2025-12-06,8:30p,Houston Rockets,Dallas Mavericks,American Airlines Center
2025-12-07,12:00p,Orlando Magic,New York Knicks,Madison Square Garden (IV)
2025-12-07,3:30p,Boston Celtics,Toronto Raptors,Scotiabank Arena
2025-12-07,6:00p,Denver Nuggets,Charlotte Hornets,Spectrum Center
2025-12-07,6:00p,Portland Trail Blazers,Memphis Grizzlies,FedExForum
2025-12-07,7:00p,Golden State Warriors,Chicago Bulls,United Center
2025-12-07,7:30p,Los Angeles Lakers,Philadelphia 76ers,Xfinity Mobile Arena
2025-12-07,8:00p,Oklahoma City Thunder,Utah Jazz,Delta Center
2025-12-08,7:00p,Sacramento Kings,Indiana Pacers,Gainbridge Fieldhouse
2025-12-08,8:00p,Phoenix Suns,Minnesota Timberwolves,Target Center
2025-12-08,9:30p,San Antonio Spurs,New Orleans Pelicans,Smoothie King Center
2025-12-17,8:00p,Cleveland Cavaliers,Chicago Bulls,United Center
2025-12-17,8:00p,Memphis Grizzlies,Minnesota Timberwolves,Target Center
2025-12-17,8:00p,Los Angeles Clippers,Oklahoma City Thunder,Paycom Center
2025-12-17,8:00p,Washington Wizards,San Antonio Spurs,Frost Bank Center
2025-12-18,7:00p,Atlanta Hawks,Charlotte Hornets,Spectrum Center
2025-12-18,7:00p,New York Knicks,Indiana Pacers,Gainbridge Fieldhouse
2025-12-18,7:30p,Miami Heat,Brooklyn Nets,Barclays Center
2025-12-18,8:00p,Toronto Raptors,Milwaukee Bucks,Fiserv Forum
2025-12-18,8:00p,Houston Rockets,New Orleans Pelicans,Smoothie King Center
2025-12-18,8:30p,Detroit Pistons,Dallas Mavericks,American Airlines Center
2025-12-18,9:00p,Orlando Magic,Denver Nuggets,Ball Arena
2025-12-18,9:00p,Golden State Warriors,Phoenix Suns,Mortgage Matchup Center
2025-12-18,9:00p,Los Angeles Lakers,Utah Jazz,Delta Center
2025-12-18,10:00p,Sacramento Kings,Portland Trail Blazers,Moda Center
2025-12-19,7:00p,Miami Heat,Boston Celtics,TD Garden
2025-12-19,7:00p,Philadelphia 76ers,New York Knicks,Madison Square Garden (IV)
2025-12-19,7:30p,San Antonio Spurs,Atlanta Hawks,State Farm Arena
2025-12-19,7:30p,Chicago Bulls,Cleveland Cavaliers,Rocket Arena
2025-12-19,9:30p,Oklahoma City Thunder,Minnesota Timberwolves,Target Center
2025-12-20,5:00p,Houston Rockets,Denver Nuggets,Ball Arena
2025-12-20,7:00p,Indiana Pacers,New Orleans Pelicans,Smoothie King Center
2025-12-20,7:00p,Dallas Mavericks,Philadelphia 76ers,Xfinity Mobile Arena
2025-12-20,7:00p,Boston Celtics,Toronto Raptors,Scotiabank Arena
2025-12-20,7:30p,Charlotte Hornets,Detroit Pistons,Little Caesars Arena
2025-12-20,8:00p,Washington Wizards,Memphis Grizzlies,FedExForum
2025-12-20,8:30p,Phoenix Suns,Golden State Warriors,Chase Center
2025-12-20,9:30p,Orlando Magic,Utah Jazz,Delta Center
2025-12-20,10:00p,Portland Trail Blazers,Sacramento Kings,Golden 1 Center
2025-12-20,10:30p,Los Angeles Lakers,Los Angeles Clippers,Intuit Dome
2025-12-21,3:30p,Chicago Bulls,Atlanta Hawks,State Farm Arena
2025-12-21,6:00p,Toronto Raptors,Brooklyn Nets,Barclays Center
2025-12-21,6:00p,Miami Heat,New York Knicks,Madison Square Garden (IV)
2025-12-21,7:00p,Milwaukee Bucks,Minnesota Timberwolves,Target Center
2025-12-21,7:00p,San Antonio Spurs,Washington Wizards,Capital One Arena
2025-12-21,10:00p,Houston Rockets,Sacramento Kings,Golden 1 Center
2025-12-22,7:00p,Charlotte Hornets,Cleveland Cavaliers,Rocket Arena
2025-12-22,7:30p,Indiana Pacers,Boston Celtics,TD Garden
2025-12-22,8:00p,Dallas Mavericks,New Orleans Pelicans,Smoothie King Center
2025-12-22,9:00p,Utah Jazz,Denver Nuggets,Ball Arena
2025-12-22,9:30p,Memphis Grizzlies,Oklahoma City Thunder,Paycom Center
2025-12-22,10:00p,Orlando Magic,Golden State Warriors,Chase Center
2025-12-22,10:00p,Detroit Pistons,Portland Trail Blazers,Moda Center
2025-12-23,7:00p,Washington Wizards,Charlotte Hornets,Spectrum Center
2025-12-23,7:00p,Brooklyn Nets,Philadelphia 76ers,Xfinity Mobile Arena
2025-12-23,7:30p,Chicago Bulls,Atlanta Hawks,State Farm Arena
2025-12-23,7:30p,New Orleans Pelicans,Cleveland Cavaliers,Rocket Arena
2025-12-23,7:30p,Milwaukee Bucks,Indiana Pacers,Gainbridge Fieldhouse
2025-12-23,7:30p,Toronto Raptors,Miami Heat,Kaseya Center
2025-12-23,8:00p,Denver Nuggets,Dallas Mavericks,American Airlines Center
2025-12-23,8:00p,New York Knicks,Minnesota Timberwolves,Target Center
2025-12-23,8:30p,Oklahoma City Thunder,San Antonio Spurs,Frost Bank Center
2025-12-23,9:00p,Los Angeles Lakers,Phoenix Suns,Mortgage Matchup Center
2025-12-23,9:00p,Memphis Grizzlies,Utah Jazz,Delta Center
2025-12-23,10:00p,Orlando Magic,Portland Trail Blazers,Moda Center
2025-12-23,10:00p,Detroit Pistons,Sacramento Kings,Golden 1 Center
2025-12-23,11:00p,Houston Rockets,Los Angeles Clippers,Intuit Dome
2025-12-25,12:00p,Cleveland Cavaliers,New York Knicks,Madison Square Garden (IV)
2025-12-25,2:30p,San Antonio Spurs,Oklahoma City Thunder,Paycom Center
2025-12-25,5:00p,Dallas Mavericks,Golden State Warriors,Chase Center
2025-12-25,8:00p,Houston Rockets,Los Angeles Lakers,Crypto.com Arena
2025-12-25,10:30p,Minnesota Timberwolves,Denver Nuggets,Ball Arena
2025-12-26,7:00p,Miami Heat,Atlanta Hawks,State Farm Arena
2025-12-26,7:00p,Charlotte Hornets,Orlando Magic,Kia Center
2025-12-26,7:00p,Toronto Raptors,Washington Wizards,Capital One Arena
2025-12-26,7:30p,Boston Celtics,Indiana Pacers,Gainbridge Fieldhouse
2025-12-26,8:00p,Philadelphia 76ers,Chicago Bulls,United Center
2025-12-26,8:00p,Milwaukee Bucks,Memphis Grizzlies,FedExForum
2025-12-26,8:00p,Phoenix Suns,New Orleans Pelicans,Smoothie King Center
2025-12-26,9:30p,Detroit Pistons,Utah Jazz,Delta Center
2025-12-26,10:00p,Los Angeles Clippers,Portland Trail Blazers,Moda Center
2025-12-27,5:00p,Dallas Mavericks,Sacramento Kings,Golden 1 Center
2025-12-27,7:00p,Phoenix Suns,New Orleans Pelicans,Smoothie King Center
2025-12-27,7:00p,Denver Nuggets,Orlando Magic,Kia Center
2025-12-27,8:00p,New York Knicks,Atlanta Hawks,State Farm Arena
2025-12-27,8:00p,Milwaukee Bucks,Chicago Bulls,United Center
2025-12-27,8:00p,Cleveland Cavaliers,Houston Rockets,Toyota Center
2025-12-27,8:00p,Indiana Pacers,Miami Heat,Kaseya Center
2025-12-27,8:00p,Brooklyn Nets,Minnesota Timberwolves,Target Center
2025-12-27,8:00p,Utah Jazz,San Antonio Spurs,Frost Bank Center
2025-12-28,3:30p,Philadelphia 76ers,Oklahoma City Thunder,Paycom Center
2025-12-28,3:30p,Golden State Warriors,Toronto Raptors,Scotiabank Arena
2025-12-28,6:00p,Boston Celtics,Portland Trail Blazers,Moda Center
2025-12-28,6:00p,Memphis Grizzlies,Washington Wizards,Capital One Arena
2025-12-28,9:00p,Detroit Pistons,Los Angeles Clippers,Intuit Dome
2025-12-28,9:30p,Sacramento Kings,Los Angeles Lakers,Crypto.com Arena
2025-12-29,7:00p,Milwaukee Bucks,Charlotte Hornets,Spectrum Center
2025-12-29,7:00p,Phoenix Suns,Washington Wizards,Capital One Arena
2025-12-29,7:30p,Golden State Warriors,Brooklyn Nets,Barclays Center
2025-12-29,7:30p,Denver Nuggets,Miami Heat,Kaseya Center
2025-12-29,7:30p,Orlando Magic,Toronto Raptors,Scotiabank Arena
2025-12-29,8:00p,Minnesota Timberwolves,Chicago Bulls,United Center
2025-12-29,8:00p,Indiana Pacers,Houston Rockets,Toyota Center
2025-12-29,8:00p,New York Knicks,New Orleans Pelicans,Smoothie King Center
2025-12-29,8:00p,Atlanta Hawks,Oklahoma City Thunder,Paycom Center
2025-12-29,8:00p,Cleveland Cavaliers,San Antonio Spurs,Frost Bank Center
2025-12-29,11:00p,Dallas Mavericks,Portland Trail Blazers,Moda Center
2025-12-30,8:00p,Philadelphia 76ers,Memphis Grizzlies,FedExForum
2025-12-30,9:00p,Boston Celtics,Utah Jazz,Delta Center
2025-12-30,10:30p,Detroit Pistons,Los Angeles Lakers,Crypto.com Arena
2025-12-30,11:00p,Sacramento Kings,Los Angeles Clippers,Intuit Dome
2025-12-31,1:00p,Golden State Warriors,Charlotte Hornets,Spectrum Center
2025-12-31,3:00p,Minnesota Timberwolves,Atlanta Hawks,State Farm Arena
2025-12-31,3:00p,Orlando Magic,Indiana Pacers,Gainbridge Fieldhouse
2025-12-31,3:30p,Phoenix Suns,Cleveland Cavaliers,Rocket Arena
2025-12-31,7:00p,New Orleans Pelicans,Chicago Bulls,United Center
2025-12-31,7:00p,New York Knicks,San Antonio Spurs,Frost Bank Center
2025-12-31,7:30p,Denver Nuggets,Toronto Raptors,Scotiabank Arena
2025-12-31,8:00p,Washington Wizards,Milwaukee Bucks,Fiserv Forum
2025-12-31,8:00p,Portland Trail Blazers,Oklahoma City Thunder,Paycom Center
